continent,airport,year,month,flight_count
Europe,EGLL,2021,7,8239
Europe,EGLL,2021,8,9571
Europe,EGLL,2021,9,10007
Europe,EGLL,2021,10,11603
Europe,EGLL,2021,11,11565
Europe,EGLL,2021,12,12467
Europe,EHAM,2021,1,6965
Europe,EHAM,2021,2,5224
Europe,EHAM,2021,3,5956
Europe,EHAM,2021,4,6845
Europe,EHAM,2021,5,7598
Europe,EHAM,2021,6,9661
Europe,EHAM,2021,7,14187
Europe,EHAM,2021,8,15563
Europe,EHAM,2021,9,14066
Europe,EHAM,2021,10,15183
Europe,EHAM,2021,11,13711
Europe,EHAM,2021,12,14959
Europe,LEMD,2021,1,4789
Europe,LEMD,2021,2,4573
Europe,LEMD,2021,3,5261
Europe,LEMD,2021,4,5833
Europe,LEMD,2021,5,6523
Europe,LEMD,2021,6,8543
Europe,LEMD,2021,7,11328
Europe,LEMD,2021,8,11450
Europe,LEMD,2021,9,10454
Europe,LEMD,2021,10,10991
Europe,LEMD,2021,11,11314
Europe,LEMD,2021,12,12304
Europe,LFPG,2021,1,6647
Europe,LFPG,2021,2,5792
Europe,LFPG,2021,3,6370
Europe,LFPG,2021,4,6604
Europe,LFPG,2021,5,6794
Europe,LFPG,2021,6,8858
Europe,LFPG,2021,7,13117
Europe,LFPG,2021,8,14260
Europe,LFPG,2021,9,11458
Europe,LFPG,2021,10,12073
Europe,LFPG,2021,11,13038
Europe,LFPG,2021,12,14405
Europe,EDDF,2022,1,12061
Europe,EDDF,2022,2,10572
Europe,EDDF,2022,3,12703
Europe,EDDF,2022,4,15843
Europe,EDDF,2022,5,17443
Europe,EGLL,2022,1,11051
Europe,EGLL,2022,2,9749
Europe,EGLL,2022,3,13515
Europe,EGLL,2022,4,16291
Europe,EGLL,2022,5,17043
Europe,EHAM,2022,1,13201
Europe,EHAM,2022,2,11581
Europe,EHAM,2022,3,14421
Europe,EHAM,2022,4,17138
Europe,EHAM,2022,5,18804
Europe,LEMD,2022,1,11612
Europe,LEMD,2022,2,10468
Europe,LEMD,2022,3,12517
Europe,LEMD,2022,4,13942
Europe,LEMD,2022,5,14475
Europe,LFPG,2022,1,12312
Europe,LFPG,2022,2,11037
Europe,LFPG,2022,3,14015
Europe,LFPG,2022,4,16481
Europe,LFPG,2022,5,17564
North Americas,KATL,2019,1,126
North Americas,KATL,2019,2,124
North Americas,KATL,2019,3,220
North Americas,KATL,2019,4,1090
North Americas,KATL,2019,5,14514
North Americas,KATL,2019,6,22255
North Americas,KATL,2019,7,27610
North Americas,KATL,2019,8,21838
North Americas,KATL,2019,9,8528
North Americas,KATL,2019,10,10114
North Americas,KATL,2019,11,17486
North Americas,KATL,2019,12,33945
North Americas,KDFW,2019,1,21676
North Americas,KDFW,2019,2,19765
North Americas,KDFW,2019,3,23030
North Americas,KDFW,2019,4,22264
North Americas,KDFW,2019,5,24592
North Americas,KDFW,2019,6,24563
North Americas,KDFW,2019,7,26573
North Americas,KDFW,2019,8,26773
North Americas,KDFW,2019,9,24835
North Americas,KDFW,2019,10,27901
North Americas,KDFW,2019,11,27317
North Americas,KDFW,2019,12,27995
North Americas,KLAS,2019,1,16033
North Americas,KLAS,2019,2,14717
North Americas,KLAS,2019,3,17751
North Americas,KLAS,2019,4,18140
North Americas,KLAS,2019,5,20209
North Americas,KLAS,2019,6,18945
North Americas,KLAS,2019,7,19782
North Americas,KLAS,2019,8,20801
North Americas,KLAS,2019,9,20054
North Americas,KLAS,2019,10,22303
North Americas,KLAS,2019,11,20095
North Americas,KLAS,2019,12,19505
North Americas,KLAX,2019,1,16360
North Americas,KLAX,2019,2,11181
North Americas,KLAX,2019,3,9993
North Americas,KLAX,2019,4,12085
North Americas,KLAX,2019,5,8060
North Americas,KLAX,2019,6,10164
North Americas,KLAX,2019,7,20758
North Americas,KLAX,2019,8,26835
North Americas,KLAX,2019,9,22049
North Americas,KLAX,2019,10,24395
North Americas,KLAX,2019,11,23428
North Americas,KLAX,2019,12,24745
North Americas,KORD,2019,1,19883
North Americas,KORD,2019,2,21499
North Americas,KORD,2019,3,27603
North Americas,KORD,2019,4,26937
North Americas,KORD,2019,5,23596
North Americas,KORD,2019,6,15851
North Americas,KORD,2019,7,26730
North Americas,KORD,2019,8,30950
North Americas,KORD,2019,9,29129
North Americas,KORD,2019,10,37969
North Americas,KORD,2019,11,35430
North Americas,KORD,2019,12,36406
North Americas,KATL,2020,1,35770
North Americas,KATL,2020,2,33976
North Americas,KATL,2020,3,30610
North Americas,KATL,2020,4,10106
North Americas,KATL,2020,5,9202
North Americas,KATL,2020,6,12077
North Americas,KATL,2020,7,19569
North Americas,KATL,2020,8,23390
North Americas,KATL,2020,9,21930
North Americas,KATL,2020,10,23246
North Americas,KATL,2020,11,24024
North Americas,KATL,2020,12,26076
North Americas,KDFW,2020,1,27534
North Americas,KDFW,2020,2,26830
North Americas,KDFW,2020,3,25121
North Americas,KDFW,2020,4,11794
North Americas,KDFW,2020,5,13368
North Americas,KDFW,2020,6,14252
North Americas,KDFW,2020,7,19238
North Americas,KDFW,2020,8,19794
North Americas,KDFW,2020,9,19185
North Americas,KDFW,2020,10,20573
North Americas,KDFW,2020,11,19902
North Americas,KDFW,2020,12,21954
North Americas,KLAS,2020,1,21195
North Americas,KLAS,2020,2,19480
North Americas,KLAS,2020,3,14547
North Americas,KLAS,2020,4,4628
North Americas,KLAS,2020,5,5340
North Americas,KLAS,2020,6,8846
North Americas,KLAS,2020,7,11764
North Americas,KLAS,2020,8,12462
North Americas,KLAS,2020,9,11281
North Americas,KLAS,2020,10,12973
North Americas,KLAS,2020,11,12437
North Americas,KLAS,2020,12,11591
North Americas,KLAX,2020,1,23659
North Americas,KLAX,2020,2,22600
North Americas,KLAX,2020,3,20718
North Americas,KLAX,2020,4,7097
North Americas,KLAX,2020,5,6748
North Americas,KLAX,2020,6,8198
North Americas,KLAX,2020,7,12198
North Americas,KLAX,2020,8,13235
North Americas,KLAX,2020,9,12262
North Americas,KLAX,2020,10,13141
North Americas,KLAX,2020,11,14019
North Americas,KLAX,2020,12,14466
North Americas,KORD,2020,1,34480
North Americas,KORD,2020,2,33538
North Americas,KORD,2020,3,32048
North Americas,KORD,2020,4,12046
North Americas,KORD,2020,5,10900
North Americas,KORD,2020,6,11522
North Americas,KORD,2020,7,18956
North Americas,KORD,2020,8,21363
North Americas,KORD,2020,9,20059
North Americas,KORD,2020,10,20103
North Americas,KORD,2020,11,19167
North Americas,KORD,2020,12,19376
North Americas,KATL,2021,1,25028
North Americas,KATL,2021,2,22590
North Americas,KATL,2021,3,28000
North Americas,KATL,2021,4,28726
North Americas,KATL,2021,5,29358
North Americas,KATL,2021,6,30652
North Americas,KATL,2021,7,31457
North Americas,KATL,2021,8,31216
North Americas,KATL,2021,9,27902
North Americas,KATL,2021,10,30505
North Americas,KATL,2021,11,28934
North Americas,KATL,2021,12,29872
North Americas,KDFW,2021,1,21871
North Americas,KDFW,2021,2,16833
North Americas,KDFW,2021,3,22932
North Americas,KDFW,2021,4,23423
North Americas,KDFW,2021,5,25330
North Americas,KDFW,2021,6,28127
North Americas,KDFW,2021,7,29366
North Americas,KDFW,2021,8,26785
North Americas,KDFW,2021,9,24278
North Americas,KDFW,2021,10,26378
North Americas,KDFW,2021,11,25035
