continent,airport,year,month,flight_count
North Americas,KDEN,2020,11,19206
North Americas,KDEN,2020,12,20078
North Americas,KDFW,2020,1,26728
North Americas,KDFW,2020,2,26685
North Americas,KDFW,2020,3,25367
North Americas,KDFW,2020,4,11495
North Americas,KDFW,2020,5,13165
North Americas,KDFW,2020,6,14619
North Americas,KDFW,2020,7,21186
North Americas,KDFW,2020,8,21788
North Americas,KDFW,2020,9,20153
North Americas,KDFW,2020,10,22365
North Americas,KDFW,2020,11,21626
North Americas,KDFW,2020,12,23542
North Americas,KLAX,2020,1,25070
North Americas,KLAX,2020,2,24429
North Americas,KLAX,2020,3,22724
North Americas,KLAX,2020,4,7397
North Americas,KLAX,2020,5,7253
North Americas,KLAX,2020,6,8904
North Americas,KLAX,2020,7,12605
North Americas,KLAX,2020,8,13487
North Americas,KLAX,2020,9,12541
North Americas,KLAX,2020,10,13995
North Americas,KLAX,2020,11,14450
North Americas,KLAX,2020,12,15787
North Americas,KORD,2020,1,33527
North Americas,KORD,2020,2,33311
North Americas,KORD,2020,3,32004
North Americas,KORD,2020,4,11692
North Americas,KORD,2020,5,10688
North Americas,KORD,2020,6,11200
North Americas,KORD,2020,7,18746
North Americas,KORD,2020,8,21012
North Americas,KORD,2020,9,19618
North Americas,KORD,2020,10,19718
North Americas,KORD,2020,11,18613
North Americas,KORD,2020,12,18982
North Americas,KATL,2021,1,24653
North Americas,KATL,2021,2,22357
North Americas,KATL,2021,3,27737
North Americas,KATL,2021,4,28440
North Americas,KATL,2021,5,29117
North Americas,KATL,2021,6,30296
North Americas,KATL,2021,7,31357
North Americas,KATL,2021,8,30729
North Americas,KATL,2021,9,27331
North Americas,KATL,2021,10,30802
North Americas,KATL,2021,11,28516
North Americas,KATL,2021,12,29592
North Americas,KDEN,2021,1,18464
North Americas,KDEN,2021,2,16805
North Americas,KDEN,2021,3,20235
North Americas,KDEN,2021,4,21462
North Americas,KDEN,2021,5,22820
North Americas,KDEN,2021,6,25972
North Americas,KDEN,2021,7,27904
North Americas,KDEN,2021,8,28076
North Americas,KDEN,2021,9,24527
North Americas,KDEN,2021,10,24965
North Americas,KDEN,2021,11,23562
North Americas,KDEN,2021,12,24924
North Americas,KDFW,2021,1,22604
North Americas,KDFW,2021,2,17893
North Americas,KDFW,2021,3,25400
North Americas,KDFW,2021,4,25454
North Americas,KDFW,2021,5,26925
North Americas,KDFW,2021,6,28851
North Americas,KDFW,2021,7,30143
North Americas,KDFW,2021,8,28579
North Americas,KDFW,2021,9,25356
North Americas,KDFW,2021,10,27797
North Americas,KDFW,2021,11,25756
North Americas,KDFW,2021,12,28139
North Americas,KLAX,2021,1,14706
North Americas,KLAX,2021,2,13057
North Americas,KLAX,2021,3,15996
North Americas,KLAX,2021,4,16992
North Americas,KLAX,2021,5,18885
North Americas,KLAX,2021,6,21806
North Americas,KLAX,2021,7,23348
North Americas,KLAX,2021,8,23509
North Americas,KLAX,2021,9,20289
North Americas,KLAX,2021,10,23108
North Americas,KLAX,2021,11,21479
North Americas,KLAX,2021,12,23058
North Americas,KORD,2021,1,16794
North Americas,KORD,2021,2,15887
North Americas,KORD,2021,3,20555
North Americas,KORD,2021,4,22288
North Americas,KORD,2021,5,25504
North Americas,KORD,2021,6,30426
North Americas,KORD,2021,7,34244
North Americas,KORD,2021,8,33243
North Americas,KORD,2021,9,30051
North Americas,KORD,2021,10,32988
North Americas,KORD,2021,11,28705
North Americas,KORD,2021,12,30029
North Americas,KATL,2022,1,27556
North Americas,KATL,2022,2,24716
North Americas,KATL,2022,3,28852
North Americas,KATL,2022,4,28970
North Americas,KATL,2022,5,29657
North Americas,KDEN,2022,1,21258
North Americas,KDEN,2022,2,20790
North Americas,KDEN,2022,3,23609
North Americas,KDEN,2022,4,23256
North Americas,KDEN,2022,5,23931
North Americas,KDFW,2022,1,25771
North Americas,KDFW,2022,2,20315
North Americas,KDFW,2022,3,25424
North Americas,KDFW,2022,4,26150
North Americas,KDFW,2022,5,26588
North Americas,KLAX,2022,1,20894
North Americas,KLAX,2022,2,18892
North Americas,KLAX,2022,3,21498
North Americas,KLAX,2022,4,21547
North Americas,KLAX,2022,5,22245
North Americas,KORD,2022,1,25911
North Americas,KORD,2022,2,23615
North Americas,KORD,2022,3,28311
North Americas,KORD,2022,4,28472
North Americas,KORD,2022,5,28917
