period,origin_country,dest_country,flight_count
TP4,北爱尔兰,荷兰,11197
TP4,北爱尔兰,波兰,6478
TP4,北爱尔兰,葡萄牙,8430
TP4,北爱尔兰,土耳其,2999
TP4,北爱尔兰,美国,13519
TP4,印度,澳大利亚,378
TP4,印度,加拿大,515
TP4,印度,瑞士,46
TP4,印度,德国,983
TP4,印度,西班牙,10
TP4,印度,法国,393
TP4,印度,北爱尔兰,901
TP4,印度,意大利,33
TP4,印度,日本,219
TP4,印度,荷兰,146
TP4,印度,波兰,80
TP4,印度,葡萄牙,1
TP4,印度,土耳其,295
TP4,印度,美国,978
TP4,意大利,加拿大,149
TP4,意大利,瑞士,3174
TP4,意大利,德国,14956
TP4,意大利,西班牙,11844
TP4,意大利,法国,11297
TP4,意大利,北爱尔兰,13249
TP4,意大利,印度,15
TP4,意大利,日本,37
TP4,意大利,荷兰,5026
TP4,意大利,波兰,2891
TP4,意大利,葡萄牙,2358
TP4,意大利,土耳其,1307
TP4,意大利,美国,2476
TP4,日本,澳大利亚,303
TP4,日本,加拿大,236
TP4,日本,瑞士,41
TP4,日本,德国,367
TP4,日本,西班牙,1
TP4,日本,法国,307
TP4,日本,北爱尔兰,261
TP4,日本,印度,207
TP4,日本,意大利,8
TP4,日本,荷兰,87
TP4,日本,新西兰,42
TP4,日本,波兰,7
TP4,日本,土耳其,89
TP4,日本,美国,4745
TP4,荷兰,澳大利亚,2
TP4,荷兰,加拿大,599
TP4,荷兰,瑞士,2884
TP4,荷兰,德国,7101
TP4,荷兰,西班牙,7134
TP4,荷兰,法国,4099
TP4,荷兰,北爱尔兰,11358
TP4,荷兰,印度,120
TP4,荷兰,意大利,5505
TP4,荷兰,日本,35
TP4,荷兰,波兰,2268
TP4,荷兰,葡萄牙,2500
TP4,荷兰,土耳其,1433
TP4,荷兰,美国,3821
TP4,新西兰,澳大利亚,1654
TP4,新西兰,加拿大,53
TP4,新西兰,德国,2
TP4,新西兰,西班牙,3
TP4,新西兰,北爱尔兰,2
TP4,新西兰,日本,25
TP4,新西兰,荷兰,2
TP4,新西兰,美国,310
TP4,波兰,澳大利亚,1
TP4,波兰,加拿大,124
TP4,波兰,瑞士,1006
TP4,波兰,德国,6892
TP4,波兰,西班牙,1772
TP4,波兰,法国,1992
TP4,波兰,北爱尔兰,6711
TP4,波兰,印度,77
TP4,波兰,意大利,2836
TP4,波兰,日本,4
TP4,波兰,荷兰,2304
TP4,波兰,葡萄牙,428
TP4,波兰,土耳其,330
TP4,波兰,美国,485
TP4,葡萄牙,加拿大,437
TP4,葡萄牙,瑞士,2899
TP4,葡萄牙,德国,5743
TP4,葡萄牙,西班牙,6653
TP4,葡萄牙,法国,7805
TP4,葡萄牙,北爱尔兰,9170
TP4,葡萄牙,印度,4
TP4,葡萄牙,意大利,2712
TP4,葡萄牙,荷兰,2689
TP4,葡萄牙,波兰,486
TP4,葡萄牙,土耳其,235
TP4,葡萄牙,美国,1476
TP4,土耳其,加拿大,164
TP4,土耳其,瑞士,1690
TP4,土耳其,德国,7996
TP4,土耳其,西班牙,1269
TP4,土耳其,法国,2247
TP4,土耳其,北爱尔兰,3155
TP4,土耳其,印度,337
TP4,土耳其,意大利,1691
